E (kV/cm),Sigma (microns/sqrt( cm ) )
0.09958506,229.1196
0.1120332,207.6749
0.1307054,193.0023
0.1680498,172.6862
0.2178423,159.1422
0.2738589,146.7269
0.3547718,133.1828
0.4294606,124.1535
0.5103734,121.8962
0.560166,120.7675
0.6099585,119.6388
0.6473029,120.7675
0.7219917,124.1535
0.7780083,127.5395
0.846473,134.3115
0.9273859,146.7269
0.9958506,156.8849
1.064315,167.0429
1.145228,177.2009
1.232365,188.4876
1.307054,197.5169
1.419087,208.8036
1.543568,215.5756
1.736515,225.7336
1.973029,233.6343
2.109959,235.8916
2.26556,239.2777
2.421162,242.6637
2.576763,243.7923
2.782158,244.921
2.987552,246.0497
