E (kV/cm),V (cm/micros)
0.1118012,0.2554585
0.1863354,0.4257642
0.2795031,0.5960699
0.3726708,0.8231441
0.4596273,1.050218
0.5341615,1.19214
0.6086957,1.39083
0.6832298,1.58952
0.7391304,1.731441
0.8322981,2.015284
0.9006211,2.242358
0.9937888,2.639738
1.080745,2.951965
1.173913,3.349345
1.273292,3.775109
1.354037,4.144105
1.447205,4.5131
1.534161,4.853712
1.658385,5.30786
1.782609,5.676856
1.944099,6.045852
2.173913,6.5
2.341615,6.727074
2.534161,6.982533
2.726708,7.181223
2.84472,7.323144
2.937888,7.351528
2.981366,7.408297
